eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,city,latitude,longitude,summary,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1,natlty1_txt,nperps,weaptype1,weaptype1_txt,weapdetail,nkill,nwound
200005190002,2000,5,19,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"05/19/2000: Six people, including three children, were injured when a rocket fired at the Kashmir state assembly in Srinagar, India, exploded short of the target. Police blamed separatist Islamic militants for the rocket attack; but there were no claims of responsibility.",0,3,Bombing/Explosion,2,Government (General),21,Government Building/Facility/Office,Kashmir State Assembly building in Srinagar,92,India,2,6,Explosives,Official sources said the rocket was fired from a shoulder-held disposable rocket launcher by 2 suspected militants riding a motorbike.,0,6
200008000001,2000,8,0,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"8/12/2000: A grenade that was hidden in a garbage can detonated near a famous shrine by Dal Lake, in Srinagar, India.  Four people were injured in the attack, including two Hungarian tourists.  Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack.  The group called on the public to boycott the independence day celebrations.  The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted.  This incident was one of a series of attacks leading up to independence day.",0,3,Bombing/Explosion,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Civilians in the vicinity of a garbage can near Dal Lake in Srinagar,92,India,-99,6,Explosives,A grenade hidden in a garbage can,0,4
200008130007,2000,8,13,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"8/13/2000: An explosive device detonated near a popular pleasure garden in Srinagar, India.  No one was injured in the attack, but the explosion caused minor damage.  Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack.  The group called on the public to boycott the independence day celebrations.  The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted.  This incident was one of a series of attacks leading up to independence day.",0,3,Bombing/Explosion,14,Private Citizens & Property,74,Marketplace/Plaza/Square,Civilians in or near the pleasure gardens,92,India,-99,6,Explosives,An explosive device,0,0
200008130008,2000,8,13,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"8/13/2000: An explosive device detonated on Boulevard Road in Srinagar, India.  No one was injured in the attack.  Hizbul Mujahideen (HM), a pro-Pakistan group, claimed responsibility for the attack.  The group called on the public to boycott the independence day celebrations.  The guerrilla group said that their people were being killed, their property was being destroyed, and the females in their region were being sexually assaulted.  This incident was one of a series of attacks leading up to independence day.",0,3,Bombing/Explosion,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians and structures on Boulevard Road,92,India,-99,6,Explosives,An explosive device,0,0
200008260002,2000,8,26,0,92,India,6,South Asia,Imphal,24.798346,93.94043,"8/26/2000: Two armed militants blew up a newspaper office located in the Pan Manipur Youth League building at Konung Lampak, Imphal, India.  The two men entered the office of the daily newspaper Lamyanba and ordered out the 11 trainees and 40 staff members that were in the building.  45 minutes later, the front of the building exploded, destroying the entire facade as well as a car and a two-wheeler that were in front of the building.  The motive behind the attack is unknown but the assailants had told the editor that they were handed down their mission by elders.",0,3,Bombing/Explosion,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,"Lamyanba, a daily newspaper",92,India,2,6,Explosives,"A powerful bomb, possibly RDX",0,0
200009140004,2000,9,14,0,164,Qatar,10,Middle East & North Africa,Doha,25.262051,51.594317,"09/14/2000: An Iraqi man hijacked a plane departing from Doha bound for Amman, Jordan, about 30 minutes after takeoff. He demanded asylum from the UN for fear of persecution in Iraq. Five minutes before landing in Amman, however, the plane was redirected towards Saudi Arabia, and landed at Hael Airport in Saudi Arabia. He was then detained, bound, and placed on the same plane back to Amman. There were 133 passengers and 11 crewmembers onboard--the passengers included Jordanians, Iraqis, Palestinians, Britons, and those from the Gulf countries. The hijacker, Adil Fahd Juhayyid, was acting alone and was reported to be civil but abnormal during the hijack. He did threaten the pilot and some of those in the main cabin, but accounts differed over the type of weapon he had.",0,4,Hijacking,6,Airports & Aircraft,42,Aircraft (not at an airport),"Qatar Airways flight from Doha to Amman, Jordan",164,Qatar,1,9,Melee,"Mr. Juhayyid claimed to only have had a wooden stick, a comb, and a shard of glass from a broken mirror during the hijacking.  The pilot of the plane, however, stated that he saw Mr. Juhayyid hold a large knife.",0,0
200010110003,2000,10,11,0,92,India,6,South Asia,Srinagar,34.08374,74.789902,"10/11/2000: Militants lobbed a grenade at a security patrol vehicle in the Residency Road area at the heart of Srinagar, Kashmir, India.  The grenade missed the target and fell instead into the crowded road, injuring at least ten people including two police officers.  No group claimed responsibility for the attack.",0,3,Bombing/Explosion,3,Police,23,Police Patrol (including vehicles and convoys),A security patrol in Srinagar,92,India,-99,6,Explosives,A hand grenade,0,10
200010140002,2000,10,14,0,173,Saudi Arabia,10,Middle East & North Africa,Jeddah,21.543155,39.174905,"10/14/2000: Four Saudis and one Ethiopian hijacked Saudi Arabian Airlines Flight 115. The plane was carrying 105 passengers and crew and was destined to fly from Jeddah, Saudi Arabia to London, United Kingdom. The perpetrators threatened to blow up the plane if they were not taken to Damascus, Syria. Syria eventually gave permission for them to land, but the hijackers changed their destination and landed in Baghdad, Iraq, instead. There sole demand was to talk to a Saudi official about the Saudi royal family leaving power. After three hours of negotiations in Baghdad, the hostages were freed and the hijackers were arrested. No casualties occurred in this incident.",0,4,Hijacking,6,Airports & Aircraft,42,Aircraft (not at an airport),Saudi Arabian Airlines Flight 115,173,Saudi Arabia,5,7,Fake Weapons,"Although the hijackers claimed to have a bomb, no explosives were found on the plane.",0,0
200011210008,2000,11,22,0,130,Mexico,1,North America,Pachuca,20.115301,-98.745887,"11/22/2000: Juan Pablo de Tavira, former director of the Federal Judicial Force and Almoloya maximum-security prison, was executed in a restaurant in Pachuca, Hidalgo state, Mexico.  Tavira was shot four times in the head by a man who approached him while he was eating.  The man escaped following the shooting.  Tavira was well-known for his position in opposition of corruption.",0,1,Assassination,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,"Juan Pablo de Tavira, former director of the Federal Judicial Force and Almoloya maximum-security prison",130,Mexico,-99,5,Firearms,"The victim was killed ""execution-style""; he was shot four times in the head from close range while he was eating",1,0
200011230001,2000,11,23,0,153,Pakistan,6,South Asia,Peshawar,34.006004,71.53743,"11/23/2000: Anwar Ali Akhunzada, Central Secretary General of Tehrik-e-Jafria Pakistan (TJP), was shot dead by two unidentified armed men near his residence in Peshawar, Pakistan. Lashkar i Jhangvi (Army of Jhang) members claimed responsibility for the attack.",0,1,Assassination,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,"Anwar Ali Akhunzada, Central Secretary General of Tehrik-e-Jafria Pakistan (TJP)",153,Pakistan,2,5,Firearms,Kalashnikov assault rifles were used in the attack.,1,0
