eventid,year,imonth,iday,extended,country,country_txt,region,region_txt,city,latitude,longitude,summary,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,target1,natlty1,natlty1_txt,nperps,weaptype1,weaptype1_txt,weapdetail,nkill,nwound
197512020001,1975,12,2,1,142,Netherlands,8,Western Europe,Beilin,52.85949,6.517689,"12/2/1975 - 12/14/1975: Five South Moluccan gunmen hijacked a train outside of Beilen, province Drenthe,  in the north of the Netherlands. They killed two people during the initial hijacking, and killed another hostage later in the 12 day standoff with authorities.  The South Moluccans demanded support in the United Nations from the Dutch regarding their efforts to obtain independence from Indonesia.  At least 26 hostages were taken.  The standoff ended with all five gunmen surrendering.",1,0,2,Armed Assault,20,Unknown,Country Train,142,Netherlands,5,5,Firearms,No additional information available.,3,0
197705230004,1977,5,23,1,142,Netherlands,8,Western Europe,Tynaarlo,53.076694,6.617635,"5/23/1977-6/11/1977:  A group of 8-10 South Moluccan gunmen seized control of a train 10 miles north of the town of Bovensmilde in North Holland, Netherlands.  This attack was coordinated with another attack on an elementary school (GTD case 197705230005).  The South Moluccans demanded that 21 of their compatriots be released from Dutch prisons.  On May 25th, 3 of the hostages were released.  On May 26th, another hostage was released.  On June 5th, two pregnant women were released.  June 8th, a hostage was released when he had a minor heart attack.  Finally, on June 11th, government forces stormed both locations.  During the rescue operation 6 gunmen and two hostages were killed.",1,0,2,Armed Assault,20,Unknown,Train,142,Netherlands,8,5,Firearms,No additional information available.,8,0
197705230005,1977,5,23,1,142,Netherlands,8,Western Europe,Bovensmilde,52.977867,6.478378,"5/23/1977-6/11/1977:  A group of 4-6 South Moluccan gunmen seized control of an elementary school in the town of Bovensmilde in North Holland, Netherlands.  105 children and five teachers were taken hostage.  The attack was coordinated with a simultaneous attack on a train (GTD case 197705230004).  The South Moluccans demanded the release of 21 of their compatriots from Dutch jails.  On May 26th, four of the children were released because they were sick.  The next day the rest of the children were released because many of them appeared to be suffering from an illness similar to meningitis.  On June 11, government forces simultaneously stormed the school and the train.  No deaths were reported from the school.",1,0,2,Armed Assault,8,Educational Institution,School,142,Netherlands,4,5,Firearms,No additional information available.,0,0
198103030008,1986,2,28,0,198,Sweden,8,Western Europe,Stockholm,59.332788,18.064488,"2/28/1986: Prime Minister Olof Palme was shot and killed after leaving a movie with his wife in Stockholm, Sweden.  An unknown gunmen shot Mr. Palme twice at close range and also shot at his wife.  His wife was only slightly injured. One person was convicted of the murder, but the ruling was overturned upon appeal.  Over 130 people have claimed responsibility for the crime, but none of those claims have been deemed credible by authorities.  The case remains unsolved.",1,0,2,Armed Assault,2,Government (General),Olof Palme,198,Sweden,1,5,Firearms,No additional information available.,1,1
198602060010,1986,2,6,0,185,Spain,8,Western Europe,Madrid,40.465595,-3.696263,"2/6/1986: Two suspected members of Basque Fatherland and Freedom (ETA) assassinated Vice-Admiral Cristobal Colon near his home in Madrid, Spain.  Colon, a direct descendent of Christopher Columbus, was attacked while driving his car; the assailants threw a grenade at the vehicle and opened fire with machine guns.  Colon and his driver were immediately killed while a third passenger, Major Antonio Rodriguez Nunez, was seriously injured.  No group claimed responsibility for the incident and the assailants fled the scene following the attack.",1,0,1,Assassination,4,Military,"Vice-Admiral Cristobal Colon, his driver, and Major Antonio Rodriguez Nunez",185,Spain,2,6,Explosives,A hand grenade and machine guns,2,1
199108060003,1991,8,6,0,69,France,8,Western Europe,Paris,48.856644,2.34233,"8/6/1991: Shapur Bakhtiyar, the former Iranian prime minister, was knifed and killed in his home in Paris, France.  Bakthiar's secretary was also killed in the attack.  Three Iranian men were suspected of committing the crime; one of them, Ali Vakili-Rad, was arrested in Geneva and sentenced to life imprisonment.  The specific motive behind the attack is unknown.",1,0,2,Armed Assault,2,Government (General),"Shapour Bakhtiar, a former Iranian prime minister, and his secretary",94,Iran,3,9,Melee,The victims were knifed to death,2,0
199411130007,1994,11,13,0,6,Algeria,10,Middle East & North Africa,Algiers,36.763763,3.055413,"11/13/1994: Three Algerians, armed with knives and a coffee grinder disguised as a bomb, hijacked an Air Algerie flight travelling from Algiers to Ouargla, Algeria.  The hijackers forced the pilots to divert the airplane to Palma de Mallorca, Spain.  The perpetrators threatened to blow up the airplane if their demands  were not met.  These demands included the release of political prisoners, the resumption of the cancelled 1991 Algerian elections, as well as being granted asylum in Spain.  Following an eight hour standoff, the assailants released the forty-two hostages aboard the airplane unharmed and turned themselves in to Spanish authorities.  The hijackers were identified as Merzak Benachour, Madjid Arab and Mohammed Nedjar.  All three individuals proclaimed to be part of the Union of Peaceful Citizens of Algeria.",1,0,4,Hijacking,6,Airports & Aircraft,"Air Algerie flight travelling from Algiers to Ouargla, Algeria",6,Algeria,3,9,Melee,Knives; fake bomb that was actually a coffee grinder,0,0
199504110003,1995,11,4,0,97,Israel,10,Middle East & North Africa,Tel Aviv,32.08297,34.811886,"11/04/1995: Israeli Prime Minister Yitzhak Rabin was shot in the back and arm by a Jewish man in his 20s, while walking to his car after attending a peace rally in Tel Aviv�s King Square. The assassin, Yigal Amir, a law student at Bar Ilan University, confessed to the murder. He was reportedly a member of the right-wing extremist group Eyal. Rabin was taken to Ichilov Hospital where he died in surgery.",1,0,1,Assassination,2,Government (General),Yitzhak Rabin,97,Israel,1,5,Firearms,A 9mm Beretta pistol was used.,1,1
199512250155,1995,12,25,0,183,South Africa,11,Sub-Saharan Africa,Shobashobane,-30.801808,30.130511,"12/25/1995: At least 500 suspected members of Inkatha Freedom Party (IFP) attacked the Shobashobane settlement in KwaZulu-Natal province, South Africa.  The assailants, armed with guns, axes and spears, killed 14 villagers and wounded at least another 20 villagers; they also lit several houses on fire.  Specific motive behind the assault is unknown; however, Shobashobane is a stronghold of African National Congress (ANC).",1,0,2,Armed Assault,14,Private Citizens & Property,Civilians living in the Shobashobane settlement,183,South Africa,500,9,Melee,Most of the victims were stabbed and hacked to death,14,20
199703210142,1997,3,21,0,97,Israel,10,Middle East & North Africa,Petah Tiqwa,32.089161,34.88382,"3/21/1997: A bomb detonated at a caf� in Tel Aviv, Israel.  The bomber, Mousa Abdel Khader Ghneimat, was killed in the explosion along with three other civilians; at least 47 people were wounded.  The bomber was a Palestinian Moslem who was from Sourif, a village in the West Bank.  Sources received a phone claiming that the Hamas (Islamic Resistance Movement) was responsible for the attack; three weeks later, authorities located and broke up the Hamas cell.",1,0,3,Bombing/Explosion,1,Business,The Apropos caf� and customers in Tel Aviv,97,Israel,1,6,Explosives,An explosive device with a delayed-action fuse,4,47
